the_geom,cartodb_id,dt_start,dt_end,fishfry_uuid
,4208,2017-03-17 15:00:00+00,2017-03-17 17:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4209,2017-03-10 21:00:00+00,2017-03-11 00:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4210,2017-03-31 20:00:00+00,2017-03-31 23:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4211,2017-03-10 16:00:00+00,2017-03-10 18:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4212,2017-03-24 20:00:00+00,2017-03-24 23:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4213,2017-04-07 20:00:00+00,2017-04-07 23:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4214,2017-03-03 21:00:00+00,2017-03-04 00:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4215,2017-04-07 15:00:00+00,2017-04-07 17:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,2411,2017-03-01 20:00:00+00,2017-03-02 00:00:00+00,88
,2412,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,88
,2413,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,88
,2414,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,88
,2415,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,88
,2416,2017-04-14 15:00:00+00,2017-04-14 23:00:00+00,88
,2417,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,88
,2418,2017-03-10 16:30:00+00,2017-03-11 01:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2419,2017-03-03 16:30:00+00,2017-03-04 01:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2420,2017-03-31 15:30:00+00,2017-04-01 00:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2421,2017-03-24 15:30:00+00,2017-03-25 00:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2422,2017-03-17 15:30:00+00,2017-03-18 00:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2423,2017-04-14 15:30:00+00,2017-04-15 00:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,2424,2017-04-07 15:30:00+00,2017-04-08 00:00:00+00,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
,4216,2017-03-17 20:00:00+00,2017-03-17 23:30:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4217,2017-03-24 15:00:00+00,2017-03-24 17:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4218,2017-03-31 15:00:00+00,2017-03-31 17:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,4219,2017-03-03 16:00:00+00,2017-03-03 18:00:00+00,12cd2dec-63fb-4b2b-8503-b64d9e100abe
,3396,2017-04-07 20:30:00+00,2017-04-07 23:00:00+00,13
,3397,2017-03-03 21:30:00+00,2017-03-04 00:00:00+00,13
,3398,2017-03-31 20:30:00+00,2017-03-31 23:00:00+00,13
,3399,2017-03-10 21:30:00+00,2017-03-11 00:00:00+00,13
,2433,2017-03-24 20:00:00+00,2017-03-25 06:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2434,2017-03-31 20:00:00+00,2017-04-01 06:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2435,2017-03-17 20:00:00+00,2017-03-18 06:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2436,2017-03-03 21:00:00+00,2017-03-04 07:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2437,2017-04-14 20:00:00+00,2017-04-15 06:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2438,2017-04-07 20:00:00+00,2017-04-08 06:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,2439,2017-03-10 21:00:00+00,2017-03-11 07:00:00+00,2388e828-cd9b-4c65-ab4f-da971a9b441b
,4348,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,3
,4349,2017-04-14 20:00:00+00,2017-04-14 23:00:00+00,3
,2442,2017-03-01 15:30:00+00,2017-03-01 23:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2443,2017-04-14 14:30:00+00,2017-04-14 22:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2444,2017-03-17 14:30:00+00,2017-03-17 22:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2445,2017-03-10 15:30:00+00,2017-03-10 23:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2446,2017-04-07 14:30:00+00,2017-04-07 22:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2447,2017-03-24 14:30:00+00,2017-03-24 22:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2448,2017-03-31 14:30:00+00,2017-03-31 22:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2449,2017-03-03 15:30:00+00,2017-03-03 23:00:00+00,04c271e4-431c-4e97-b2a1-23ce3ed1790d
,2450,2017-03-24 20:00:00+00,2017-03-25 06:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2451,2017-03-31 20:00:00+00,2017-04-01 06:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2452,2017-03-17 20:00:00+00,2017-03-18 06:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2453,2017-03-03 21:00:00+00,2017-03-04 07:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2454,2017-04-14 20:00:00+00,2017-04-15 06:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2455,2017-04-07 20:00:00+00,2017-04-08 06:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,2456,2017-03-10 21:00:00+00,2017-03-11 07:00:00+00,591bc8b2-459c-420d-8e15-e77577891560
,4350,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,3
,4381,2017-04-07 21:00:00+00,2017-04-07 23:00:00+00,1338a537-607d-4b0f-b742-65a996fff7d0
,4382,2017-03-31 21:00:00+00,2017-03-31 23:00:00+00,1338a537-607d-4b0f-b742-65a996fff7d0
,4449,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,960c471a-6c66-441f-b097-3c43ef5cee22
,4450,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,960c471a-6c66-441f-b097-3c43ef5cee22
