the_geom,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,cartodb_id,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,uuid
0101000020E6100000187C9A9317FB53C03F6F2A52613A4440,see website,,,true,Fridays of Lent (except Good Friday) 5-7:30,http://www.sacredheartparishshadyside.org/Fish-Fry,,412-361-3131,282,,true,,"310 Shady Avenue, Pittsburgh, PA 15206",Church,,Sacred Heart Parish,true,718c45de-b987-49e7-a49e-0f7a716c4b95
0101000020E61000001B649291B30554C00D5531957E244440,,,,true,,,,,209,,true,,"460 Valleybrook Rd, McMurray, PA 15317",Unsure / N/A,,VFW Post 764,true,d3a02b9d-e8e0-48e2-bc3a-5473d4bc3c06
0101000020E6100000ED9A90D618F353C01D554D10752B4440,Check out our FB page for the Menu -- White Oak Legion Kitchen! Call ahead for takeout. ,,false,true,Fish Fry at the White Oak American Legion Post 701 Ash Wednesday and Every Friday in Lent (including Good Friday) from 3:00PM - 9:00PM. All proceeds and tips from the fish fry will benefit PA Housing for Homeless Veterans Corporation!  Cash Only - ATM available.,http://www.whiteoakpost701.org,,412-672-7994,215,,true,,"2813 Capitol St, White Oak, PA 15131",Community Organization,,White Oak American Legion Post 701,true,3d039985-6576-4179-939c-ce015ee5cd05
0101000020E6100000E3A59BC4200054C0C2A38D23D6064440,,,true,true,"Wednesday, March 1st (Ash Wednesday) and every Friday during Lent.",http://rvfc27.com,,724-632-6390,210,,true,,"14 Firehall Road, Richeyville, PA 15358",Fire Department,,Richeyville VFC,true,04c271e4-431c-4e97-b2a1-23ce3ed1790d
0101000020E61000005C9198A0860954C0BF805EB873D14440,"Dinners of Baked or Fried Icelandic Haddock Fish, Scalloped Potatoes, Green Beans,Coleslaw/Applesauce, bread and beverage. Prices remain the same as last year:  Adults:  $9; Children $4.50 Macaroni & Cheese or Grilled Cheese & $1.50 Ice Cream Bar (dish/ cone). ",,false,true,Lenten Fish Dinners will be held Fridays at St. Brigid social hall from 4:30-6:30 PM—now  thru April 7.,http://www.stbrigidchurch.org/,,,57,,,,"383 Arch Street, Meadville, PA",Church,,St. Brigid,true,57
0101000020E610000018B0E42A161154C0EB1B98DC28184440,"Menu includes hand-breaded haddock, fried shrimp, french fries, cole slaw, dessert and beverages. Dine-in or takeout. For information, call 724-222-4087 or visit www.sthilaryparish.org.",,,true,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. For takeout orders, call 724-222-1381.",www.sthilaryparish.org,,724-222-4087,222,,,," 320 Henderson Ave, Washington, PA 15301",Church,,"St. Hilary, Washington",true,edd67eb0-3acf-4d13-a574-d5ca81cd2055
0101000020E6100000A69A594B01F853C097AE601BF1224440,https://www.facebook.com/BlaineHillVFC/photos/a.346748162112077.1073741829.346723065447920/1244760105644207/?type=3&theater,,false,true,,https://www.facebook.com/BlaineHillVFC/,,,104,,,,"409 Oxford ave, Elizabeth, PA",Fire Department,,Blaine Hill VFD,true,104
0101000020E610000077274465680254C01DEE7E70995E4440,,,true,true,,https://www.facebook.com/events/1422747114442799/,,,322,,,,"179 Main St, Callery, Pennsylvania 16024",Fire Department,,Callery Fire Hall **Good Friday Only**,true,1df62a8a-fc8f-4f4d-a0ac-907161b8bf73
0101000020E61000007442E8A0CBF053C0A1B54714FF304440,https://www.facebook.com/keithskatering/photos/pcb.1638585696167981/1638585319501352/?type=3&theater,,true,true,,https://www.facebook.com/keithskatering/,,412-373-6788,145,,true,,"209 Brinton Ave, Trafford, PA",Restaurant,,Keith Heinritz Katering,true,145
0101000020E6100000723271AB200F54C0D6A9F23D232F4440,"Baked or fried fish dinner, with roll or sandwich bun, $7. Also, cole slaw, pierogies, haluski, macaroni and cheese, desserts and canned soda, with coffee, lemon blend or iced tea included with purchase.",,true,true,,,,412-  303-8786,211,,true,," 219 W Lincoln Ave, McDonald, PA 15057",Church,,"St. Alphonsus, McDonald **Ash Wednesday and Good Friday only**",true,b5204a05-8bf3-43ed-8df9-be05fea7cc33
0101000020E6100000C669882AFCEF53C0249C16BCE8454440,http://www.lfhvfd.com/51101.html,,,true,,http://www.lfhvfd.com/51101.html,,,284,,true,,"1001 Summit Ave., New Kensington, PA 15068",Fire Department,,Logans Ferry Heights ,true,2d22f44e-1365-4cf4-a29c-d3fe095fbd1d
0101000020E61000000EE3248392FB53C053A8B8BB18F04340,,,true,true,,,,724-966-7408,131,,true,,"200 Roosevelt Ave, Nemacolin Pa 15351",Fire Department,,Nemacolin Fire Department,true,131
0101000020E6100000EDAB61751AFF53C0CF92B6A79A394440,https://wholey.com/kitchen-menu/,true,true,true,,https://wholey.com/kitchen-menu/,,412-391-3737,99,,true,false,"1711 Penn Avenue, Pittsburgh, PA",,,Robert Wholey & Co Inc,true,99
0101000020E6100000B081BE3E84F953C0518DF227853E4440,https://www.labriolaitalianmarkets.com/products.asp?cat=23,,,true,,,,412-784-0111,110,,,,"605 Freeport Road Aspinwall, Pa 15215",,,Labriola's Italian Market,true,110
0101000020E61000008FFCC1C0730554C05EDBDB2DC92F4440,"Dinner menu features fried and baked fish, shrimp, crab cake, seafood platter. Dinners include drink, dessert, baked potato, roll and cole slaw. A la carte menu includes lobster bisque, macaroni and cheese, pierogies, haluski, pizza, french fries, baked potatoes and more.",,false,true,,http://www.olgscott.org/,,412-279-7070,21,,true,,"310 Kane Blvd. Scott Township, PA",Church,Conroy Hall (school),"Our Lady of Grace, Scott Township",true,21
0101000020E6100000F46F97FDBA0254C0E9EDCF45434C4440,,,false,true,,www.stalexis.org,,724-401-1FRY,212,true,true,,"10090 Old Perry Highway, Wexford, PA",Church,,St. Alexis Church,true,d653f9a0-7eaa-4911-b152-3a29211c7097
0101000020E6100000A8A9656B7D0554C0996379573D244440,,,true,true,,,,,216,,,," 120 Abington Dr, McMurray, PA 15317",Church,,"St. Benedict the Abbot, Peters Township",true,12cd2dec-63fb-4b2b-8503-b64d9e100abe
0101000020E6100000F4E0EEACDD1254C0A72215C6165E4440,"Serving baked or fried fish, french fries, pierogies, macaroni and cheese, green beans, cole slaw, roll, drinks and desserts. Cost is $9 for adult dinner, $4 for kids. Takeout fish sandwich and french fries is $5 from 11 a.m.-1 p.m. only. Phone for takeout sandwich orders only.",,true,true,"Fridays of Lent, except Good Friday, 4-7 p.m. ",,,724-964-8047,208,,true,,"4019 US-422, Pulaski, PA 16143",Church,,"St. James the Apostle, Pulaski",true,e533aea3-b2ca-4595-9100-6d1625b118d3
0101000020E6100000310E89D6E50F54C0C892DEDC04164440,"Menu features fried and baked fish dinners, fish tacos, salads, shrimp, cabbage and noodles, cheese pizza, and macaroni and cheese. Cost is $9 for adult dinner, $7 for sandwich.",,true,true,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-7 p.m.",,,724-222- 9737,16,,true,false,"119 W. Chestnut St., Washington, PA",Church,,"Immaculate Conception, Washington",true,16
